type_id,type_name,category,count,emojis
,OTHER,OTHER,🪧,📦,📎,💧,⚡,🫧,✨,🎁,🎯,🎱,🔮,🪄,🎲,🧩,👑,🎩,💎,🔔,📌,🪟,📑,🧾,📃,📄,💢,📁,📂,🗃️,🗄️,🎛️,🪁,💥,🌀,🗯️,💭,💬,💡,☁️,🎈,🖼️,⚙️,🌈,🎟️,🎫,🏆,🏅,🥇,🎖️,🪩,🎨,🧵
Q729,animal,animal,186,🧬,🌎,🌍,🌏,🌐
Q16521,taxon,animal,17990,🧬,🌎,🌍,🌏,🌐
Q5113,birds,animal,376,🐦,🐥,🪶,🪺,🪽,🥚
Q7377,mammals,animal,272,🐾,🧬,🌎,🌍,🌏,🌐
Q11173,chemical compound,science,290,🔬,⚗️,🧪
Q16917,hospital,health,985,🏥,💉,⚕,🚑,😷
Q64578911,former hospital,health,119,🏥,💉,⚕,🚑,😷
Q12136,disease,health,132,😷,🦟,🦠
Q523,star,space,203,⭐,🌟,💫,✨,🔭
Q6999,astronomical object,space,134,👽,☄,🔭,🚀,🛸,🪐,🛰️
Q3863,asteroid,space,79,☄,🔭
Q3305213,painting,art,1145,🖌,🎨,🖼️
Q17537576,creative work,art,150,🖌
Q7725634,literary work,book,666,📖,📚
Q571,book,book,579,📖,📚,📗,📘,📕,📙,📓,📔
Q11032,newspaper,book,338,📰,🗞
Q41298,magazine,book,211,📰,📚,📓
Q36180,writer,book,91,✍,📝,✒
Q11424,film,film,28011,🎥,🎬,🎞,📽,🍿,▶️
Q202866,animated film,film,252,🎥,🎬,🎞,📽,🍿,▶️
Q24862,short film,film,86,🎥,🎬,🎞,📽,🍿,▶️
Q21191270,television series episode,film,953,📺,🍿,🎬,🎥,▶️
Q15416,television program,film,577,📺,🍿,🎬,🎥,▶️
Q5398426,television series,film,315,📺,🍿,🎬,🎥,▶️
Q1616075,television station,film,164,📺,📡
Q2001305,television channel,film,100,📺,📡
Q7889,video game,game,1337,🎮,👾,🕹,🦹,🦸,🏆,🏅,🥇,💯
Q482994,album,music,29310,🎵,🎶,🎧,🔊,💿,📀,▶️
Q1241356,record,music,108,🎵,🎶,🎧,🔊,💿,📀,▶️
Q7366,song,music,8896,🎵,🎶,🎧,🔊,🎤,▶️
Q105543609,musical work/composition,music,985,🎵,🎶,🎧,🔊,🎼,✍
Q207628,composed musical work,music,111,🎵,🎶,🎧,🔊,🎼,✍
Q134556,single,music,970,🎵,🎶,🎧,🔊,▶️
Q14350,radio station,music,644,🎵,🎶,🎧,🔊,📻,📡,🎙
Q1555508,radio program,music,99,🎵,🎶,🎧,🔊,📻,📡,🎙
Q215380,musical group,music,499,🎵,🎶,🎧,🔊,👥
Q1573906,concert tour,music,408,🎵,🎶,🎧,🔊,🎟,🏟
